"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a new user can be created and the response contains the correct user data.","312","Create New User","","Thu Aug 08 13:36:18 AMT 2024","passed","Thu Aug 08 13:36:18 AMT 2024","","User Creation Tests","",""
"This test verifies unsuccessful registration with missing password.","532","Unsuccessful Registration Test","","Thu Aug 08 13:36:16 AMT 2024","passed","Thu Aug 08 13:36:16 AMT 2024","","Registration Tests","",""
"This test verifies the response when attempting to retrieve a user that does not exist.","344","Single User Not Found","","Thu Aug 08 13:36:18 AMT 2024","passed","Thu Aug 08 13:36:18 AMT 2024","","Error Handling Tests","",""
"This test verifies successful registration with valid email and password.","552","Successful Registration Test","","Thu Aug 08 13:36:15 AMT 2024","passed","Thu Aug 08 13:36:16 AMT 2024","","Registration Tests","",""
"This test verifies that the system can handle a delayed response correctly.","4405","Handle Delayed Response","","Thu Aug 08 13:36:20 AMT 2024","passed","Thu Aug 08 13:36:24 AMT 2024","","Response Delay Tests","",""
"Tests a successful login attempt and checks for the presence and validity of the token.","390","Successful Login Test","","Thu Aug 08 13:36:16 AMT 2024","passed","Thu Aug 08 13:36:17 AMT 2024","","Login Tests","",""
"This test retrieves details of a single user by ID and verifies the response structure","125","Get Single User Details","","Thu Aug 08 13:36:17 AMT 2024","passed","Thu Aug 08 13:36:18 AMT 2024","","User Detail Tests","",""
"Tests an unsuccessful login attempt due to missing password and verifies error messages.","484","Unsuccessful Login Test","","Thu Aug 08 13:36:17 AMT 2024","passed","Thu Aug 08 13:36:17 AMT 2024","","Login Tests","",""
"This test verifies that a partial update to an existing user is successful and the response contains the updated data.","407","Partial Update Existing User","","Thu Aug 08 13:36:19 AMT 2024","passed","Thu Aug 08 13:36:19 AMT 2024","","User Update Tests","",""
"This test verifies that an existing user can be updated and the response contains the updated user data.","484","Update Existing User","","Thu Aug 08 13:36:18 AMT 2024","passed","Thu Aug 08 13:36:19 AMT 2024","","User Update Tests","",""
"This test retrieves a list of users from page 2 and verifies the response structure and content.","140","Get List of Users","","Thu Aug 08 13:36:17 AMT 2024","passed","Thu Aug 08 13:36:17 AMT 2024","","User List Tests","",""
"This test verifies that an existing user can be deleted successfully and that a subsequent request to retrieve the user returns a 404 status code.","301","Delete Existing User","","Thu Aug 08 13:36:19 AMT 2024","passed","Thu Aug 08 13:36:20 AMT 2024","","User Deletion Tests","",""
